id,city_id:id,name
zip_100,city_100,100
zip_103,city_103,103
zip_104,city_104,104
zip_105,city_105,105
zip_106,city_106,106
zip_108,city_108,108
zip_110,city_110,110
zip_111,city_111,111
zip_112,city_112,112
zip_114,city_114,114
zip_115,city_115,115
zip_116,city_116,116
zip_200,city_200,200
zip_201,city_201,201
zip_202,city_202,202
zip_203,city_203,203
zip_204,city_204,204
zip_205,city_205,205
zip_206,city_206,206
zip_207,city_207,207
zip_208,city_208,208
zip_209,city_209,209
zip_210,city_210,210
zip_211,city_211,211
zip_212,city_212,212
zip_220,city_220,220
zip_221,city_221,221
zip_222,city_222,222
zip_223,city_223,223
zip_224,city_224,224
zip_226,city_226,226
zip_227,city_227,227
zip_228,city_228,228
zip_231,city_231,231
zip_232,city_232,232
zip_233,city_233,233
zip_234,city_234,234
zip_235,city_235,235
zip_236,city_236,236
zip_237,city_237,237
zip_238,city_238,238
zip_239,city_239,239
zip_241,city_241,241
zip_242,city_242,242
zip_243,city_243,243
zip_244,city_244,244
zip_247,city_247,247
zip_248,city_248,248
zip_249,city_249,249
zip_251,city_251,251
zip_252,city_252,252
zip_253,city_253,253
zip_260,city_260,260
zip_261,city_261,261
zip_262,city_262,262
zip_263,city_263,263
zip_264,city_264,264
zip_265,city_265,265
zip_266,city_266,266
zip_267,city_267,267
zip_268,city_268,268
zip_269,city_269,269
zip_270,city_270,270
zip_272,city_272,272
zip_290,city_290,290
zip_300,city_300,300
zip_302,city_302,302
zip_303,city_303,303
zip_304,city_304,304
zip_305,city_305,305
zip_306,city_306,306
zip_307,city_307,307
zip_308,city_308,308
zip_310,city_310,310
zip_311,city_311,311
zip_312,city_312,312
zip_313,city_313,313
zip_314,city_314,314
zip_315,city_315,315
zip_320,city_320,320
zip_324,city_324,324
zip_325,city_325,325
zip_326,city_326,326
zip_327,city_327,327
zip_328,city_328,328
zip_330,city_330,330
zip_333,city_333,333
zip_334,city_334,334
zip_335,city_335,335
zip_336,city_336,336
zip_337,city_337,337
zip_338,city_338,338
zip_350,city_350,350
zip_351,city_351,351
zip_352,city_352,352
zip_353,city_353,353
zip_354,city_354,354
zip_356,city_356,356
zip_357,city_357,357
zip_358,city_358,358
zip_360,city_360,360
zip_361,city_361,361
zip_362,city_362,362
zip_363,city_363,363
zip_364,city_364,364
zip_365,city_365,365
zip_366,city_366,366
zip_367,city_367,367
zip_368,city_368,368
zip_369,city_369,369
zip_400,city_400,400
zip_401,city_401,401
zip_402,city_402,402
zip_403,city_403,403
zip_404,city_404,404
zip_406,city_406,406
zip_407,city_407,407
zip_408,city_408,408
zip_411,city_411,411
zip_412,city_412,412
zip_413,city_413,413
zip_414,city_414,414
zip_420,city_420,420
zip_421,city_421,421
zip_422,city_422,422
zip_423,city_423,423
zip_424,city_424,424
zip_426,city_426,426
zip_427,city_427,427
zip_428,city_428,428
zip_429,city_429,429
zip_432,city_432,432
zip_433,city_433,433
zip_434,city_434,434
zip_435,city_435,435
zip_436,city_436,436
zip_437,city_437,437
zip_438,city_438,438
zip_439,city_439,439
zip_500,city_500,500
zip_502,city_502,502
zip_503,city_503,503
zip_504,city_504,504
zip_505,city_505,505
zip_506,city_506,506
zip_507,city_507,507
zip_508,city_508,508
zip_509,city_509,509
zip_510,city_510,510
zip_511,city_511,511
zip_512,city_512,512
zip_513,city_513,513
zip_514,city_514,514
zip_515,city_515,515
zip_516,city_516,516
zip_520,city_520,520
zip_521,city_521,521
zip_522,city_522,522
zip_523,city_523,523
zip_524,city_524,524
zip_525,city_525,525
zip_526,city_526,526
zip_527,city_527,527
zip_528,city_528,528
zip_530,city_530,530
zip_540,city_540,540
zip_541,city_541,541
zip_542,city_542,542
zip_544,city_544,544
zip_545,city_545,545
zip_546,city_546,546
zip_551,city_551,551
zip_552,city_552,552
zip_553,city_553,553
zip_555,city_555,555
zip_556,city_556,556
zip_557,city_557,557
zip_558,city_558,558
zip_600,city_600,600
zip_602,city_602,602
zip_603,city_603,603
zip_604,city_604,604
zip_605,city_605,605
zip_606,city_606,606
zip_607,city_607,607
zip_608,city_608,608
zip_611,city_611,611
zip_612,city_612,612
zip_613,city_613,613
zip_614,city_614,614
zip_615,city_615,615
zip_616,city_616,616
zip_621,city_621,621
zip_622,city_622,622
zip_623,city_623,623
zip_624,city_624,624
zip_625,city_625,625
zip_630,city_630,630
zip_631,city_631,631
zip_632,city_632,632
zip_633,city_633,633
zip_634,city_634,634
zip_635,city_635,635
zip_636,city_636,636
zip_637,city_637,637
zip_638,city_638,638
zip_640,city_640,640
zip_643,city_643,643
zip_646,city_646,646
zip_647,city_647,647
zip_648,city_648,648
zip_649,city_649,649
zip_651,city_651,651
zip_652,city_652,652
zip_653,city_653,653
zip_654,city_654,654
zip_655,city_655,655
zip_700,city_700,700
zip_701,city_701,701
zip_702,city_702,702
zip_704,city_704,704
zip_708,city_708,708
zip_709,city_709,709
zip_710,city_710,710
zip_711,city_711,711
zip_712,city_712,712
zip_713,city_713,713
zip_714,city_714,714
zip_715,city_715,715
zip_716,city_716,716
zip_717,city_717,717
zip_718,city_718,718
zip_719,city_719,719
zip_720,city_720,720
zip_721,city_721,721
zip_722,city_722,722
zip_723,city_723,723
zip_724,city_724,724
zip_725,city_725,725
zip_726,city_726,726
zip_727,city_727,727
zip_730,city_730,730
zip_731,city_731,731
zip_732,city_732,732
zip_733,city_733,733
zip_734,city_734,734
zip_735,city_735,735
zip_736,city_736,736
zip_737,city_737,737
zip_741,city_741,741
zip_742,city_742,742
zip_743,city_743,743
zip_744,city_744,744
zip_745,city_745,745
zip_800,city_800,800
zip_801,city_801,801
zip_802,city_802,802
zip_803,city_803,803
zip_804,city_804,804
zip_805,city_805,805
zip_806,city_806,806
zip_807,city_807,807
zip_811,city_811,811
zip_812,city_812,812
zip_813,city_813,813
zip_814,city_814,814
zip_815,city_815,815
zip_817,city_817,817
zip_819,city_819,819
zip_820,city_820,820
zip_821,city_821,821
zip_822,city_822,822
zip_823,city_823,823
zip_824,city_824,824
zip_825,city_825,825
zip_826,city_826,826
zip_827,city_827,827
zip_828,city_828,828
zip_829,city_829,829
zip_830,city_830,830
zip_831,city_831,831
zip_832,city_832,832
zip_833,city_833,833
zip_840,city_840,840
zip_842,city_842,842
zip_843,city_843,843
zip_844,city_844,844
zip_845,city_845,845
zip_846,city_846,846
zip_847,city_847,847
zip_848,city_848,848
zip_849,city_849,849
zip_851,city_851,851
zip_852,city_852,852
zip_880,city_880,880
zip_881,city_881,881
zip_882,city_882,882
zip_883,city_883,883
zip_884,city_884,884
zip_885,city_885,885
zip_890,city_890,890
zip_891,city_891,891
zip_892,city_892,892
zip_893,city_893,893
zip_894,city_894,894
zip_896,city_896,896
zip_900,city_900,900
zip_901,city_901,901
zip_902,city_902,902
zip_903,city_903,903
zip_904,city_904,904
zip_905,city_905,905
zip_906,city_906,906
zip_907,city_907,907
zip_908,city_908,908
zip_909,city_909,909
zip_911,city_911,911
zip_912,city_912,912
zip_913,city_913,913
zip_920,city_920,920
zip_921,city_921,921
zip_922,city_922,922
zip_923,city_923,923
zip_924,city_924,924
zip_925,city_925,925
zip_926,city_926,926
zip_927,city_927,927
zip_928,city_928,928
zip_929,city_929,929
zip_931,city_931,931
zip_932,city_932,932
zip_940,city_940,940
zip_941,city_941,941
zip_942,city_942,942
zip_943,city_943,943
zip_944,city_944,944
zip_945,city_945,945
zip_946,city_946,946
zip_947,city_947,947
zip_950,city_950,950
zip_951,city_951,951
zip_952,city_952,952
zip_953,city_953,953
zip_954,city_954,954
zip_955,city_955,955
zip_956,city_956,956
zip_957,city_957,957
zip_958,city_958,958
zip_959,city_959,959
zip_961,city_961,961
zip_962,city_962,962
zip_963,city_963,963
zip_964,city_964,964
zip_965,city_965,965
zip_966,city_966,966
zip_970,city_970,970
zip_971,city_971,971
zip_972,city_972,972
zip_973,city_973,973
zip_974,city_974,974
zip_975,city_975,975
zip_976,city_976,976
zip_977,city_977,977
zip_978,city_978,978
zip_979,city_979,979
zip_981,city_981,981
zip_982,city_982,982
zip_983,city_983,983
